,country,city,lat,lon,members,cluster,country2continent
14,United Kingdom,London,51.52000046,-0.129999995,4762,Purple (Software/Web/Mobile Development),EU
41,Spain,Barcelona,41.40000153,2.170000076,1454,Purple (Software/Web/Mobile Development),EU
75,Sweden,Gothenburg,57.72000122,12.01000023,188,Purple (Software/Web/Mobile Development),EU
77,Norway,Oslo,59.90999985,10.75,1988,"Gray (Agile, Scrum)",EU
86,Luxembourg,Luxembourg,49.61999893,6.119999886,156,Purple (Software/Web/Mobile Development),EU
96,United Kingdom,London,51.52000046,-0.100000001,6708,Purple (Software/Web/Mobile Development),EU
136,Sweden,Stockholm,59.33000183,18.06999969,90,Purple (Software/Web/Mobile Development),EU
143,Norway,Oslo,59.90999985,10.75,281,Purple (Software/Web/Mobile Development),EU
155,United Kingdom,London,51.52000046,-0.100000001,8225,Purple (Software/Web/Mobile Development),EU
164,Denmark,Copenhagen,55.68000031,12.56999969,689,Purple (Software/Web/Mobile Development),EU
172,United Kingdom,London,51.52000046,-0.140000001,832,"Aqua (Online Marketing, WordPress)",EU
177,Hungary,Budapest,47.50999832,19.07999992,4457,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
219,Norway,Oslo,59.90999985,10.75,1698,"Gray (Agile, Scrum)",EU
236,Italy,Roma,41.90000153,12.47999954,913,Purple (Software/Web/Mobile Development),EU
246,United Kingdom,London,51.52000046,-0.159999996,2401,"Aqua (Online Marketing, WordPress)",EU
248,United Kingdom,London,51.52000046,-0.100000001,1196,Purple (Software/Web/Mobile Development),EU
256,United Kingdom,London,51.52000046,-0.100000001,1633,Purple (Software/Web/Mobile Development),EU
265,Norway,Oslo,59.90999985,10.75,291,Purple (Software/Web/Mobile Development),EU
273,Norway,Trondheim,63.43999863,10.39999962,540,"Gray (Agile, Scrum)",EU
274,Ireland,Limerick,52.66999817,-8.630000114,570,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
297,United Kingdom,London,51.52000046,-0.100000001,4583,Purple (Software/Web/Mobile Development),EU
298,Spain,Barcelona,41.40000153,2.170000076,2571,Orange (Big Data/Data Science),EU
299,United Kingdom,London,51.52000046,-0.100000001,6605,Purple (Software/Web/Mobile Development),EU
303,Spain,Barcelona,41.40000153,2.170000076,57,Orange (Big Data/Data Science),EU
309,United Kingdom,London,51.52000046,-0.100000001,1387,Purple (Software/Web/Mobile Development),EU
323,Ireland,Dublin,53.33000183,-6.25,823,Purple (Software/Web/Mobile Development),EU
354,United Kingdom,London,51.52000046,-0.100000001,424,Purple (Software/Web/Mobile Development),EU
369,United Kingdom,London,51.52000046,-0.100000001,514,"Blue (Robotics, Arduino, DiY)",EU
401,United Kingdom,London,51.52000046,-0.100000001,17,Purple (Software/Web/Mobile Development),EU
403,Netherlands,Hilversum,52.22999954,5.179999828,1403,"Gray (Agile, Scrum)",EU
439,Hungary,Budapest,47.50999832,19.07999992,628,Purple (Software/Web/Mobile Development),EU
445,United Kingdom,Manchester,53.47999954,-2.25,2653,Purple (Software/Web/Mobile Development),EU
447,United Kingdom,London,51.52000046,-0.109999999,7055,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
475,United Kingdom,London,51.50999832,-0.129999995,871,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
476,Belgium,Hasselt,50.93000031,5.340000153,87,Purple (Software/Web/Mobile Development),EU
481,Romania,Bucharest,44.43999863,26.10000038,2830,"Gray (Agile, Scrum)",EU
483,United Kingdom,London,51.52000046,-0.100000001,1040,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
484,United Kingdom,London,51.52000046,-0.09000000400000001,1811,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
