,lat,lng,members,cluster
0,49.27999878,-123.1299973,645,0
1,43.75999832,-79.44000244,89,0
2,37.36999893,-122.0299988,1839,0
3,42.38999939,-71.12999725,100,0
4,40.97999954,-74.11000061,186,0
5,38.90999985,-77.01999664,443,2
6,40.75,-73.98999786,10901,2
7,40.75,-73.98999786,3878,2
8,40.09999847,-83.01999664,527,0
9,32.79000092,-96.80000305,2226,2
10,43.75999832,-79.44000244,286,0
11,43.66999817,-79.37999725,270,0
12,1.299999952,103.8499985,1470,0
13,37.77000046,-122.4000015,2620,2
14,33.79000092,-84.44000244,3896,2
15,40.97999954,-74.11000061,649,0
16,51.52000046,-0.129999995,4762,2
17,32.77000046,-117.1399994,1296,5
18,29.71999931,-95.22000122,1371,2
19,38.61999893,-121.5,851,0
20,28.54000092,-81.37000275,1093,2
21,40.93000031,-74.12000275,1040,2
22,29.73999977,-95.41999817,2333,0
23,39.70000076,-105.0800018,1129,0
24,40.74000168,-73.98999786,1323,0
25,-27.45999908,153.0200043,1266,2
26,30.37999916,-97.70999908,1948,0
27,30.27000046,-97.73999786,2082,0
28,49.27999878,-123.1200027,1896,0
29,42.36999893,-71.09999847,2855,2
30,38.25,-85.77999878,497,0
31,43.66999817,-79.29000092,447,2
32,36.09999847,-80.20999908,490,2
33,44.97999954,-93.26999664,1721,2
34,43.75999832,-79.44000244,145,0
35,39.16999817,-76.84999847,699,5
36,43.75999832,-79.44000244,394,0
37,43.75999832,-79.44000244,110,0
38,33.86000061,-84.40000153,4643,2
39,42.36000061,-71.06999969,3763,2
40,41.88999939,-87.62999725,2105,5
41,51.02999878,-114.0800018,85,0
42,43.75999832,-79.44000244,163,0
43,42.34000015,-71.08999634,1666,2
44,41.88999939,-87.62999725,825,0
45,35.83000183,-78.83999634,2328,2
46,38.63000107,-90.19000244,743,0
47,41.40000153,2.170000076,1454,0
48,26.18000031,-80.18000031,378,2
49,43.75999832,-79.44000244,510,0
50,40.0,-75.13999939,375,0
51,39.70000076,-105.1600037,1526,2
52,-36.84999847,174.7599945,740,2
53,-36.84999847,174.7599945,859,2
54,43.75999832,-79.44000244,84,0
55,47.61000061,-122.3300018,1582,2
56,40.75,-73.98999786,20911,2
57,42.06999969,-88.05000305,129,2
58,38.25,-85.77999878,848,0
59,43.75999832,-79.44000244,47,0
60,40.47000122,-79.94999695,1021,0
61,43.75999832,-79.44000244,42,0
62,47.61000061,-122.3300018,561,0
63,30.39999962,-97.75,385,0
64,43.75999832,-79.44000244,58,0
65,59.90999985,10.75,3493,0
66,38.58000183,-121.4899979,508,2
67,43.58000183,-116.2200012,1204,2
68,41.49000168,-87.83000183,186,0
69,38.24000168,-85.72000122,583,0
70,39.09999847,-94.59999847,439,0
71,40.75,-73.98999786,1222,0
72,29.75,-95.47000122,607,0
73,36.90000153,-76.20999908,221,0
74,32.95999908,-96.75,2546,0
75,37.79000092,-122.4100037,6085,0
76,41.49000168,-81.66999817,1632,0
77,43.75999832,-79.44000244,53,0
78,49.27999878,-123.1200027,6713,0
79,43.75999832,-79.44000244,63,0
80,26.18000031,-80.18000031,77,0
81,43.75999832,-79.44000244,97,0
82,-37.81000137,144.96000669999995,318,2
83,37.79000092,-122.4000015,2502,2
84,35.75,-78.72000122,1697,2
85,34.08000183,-84.19999695,2799,0
86,57.72000122,12.01000023,188,0
87,34.59000015,-112.4599991,122,2
88,59.90999985,10.75,1988,0
89,40.70000076,-73.98999786,58629,0
90,40.75,-73.98999786,2128,0
91,42.34000015,-71.08999634,3790,0
92,32.72000122,-117.1699982,2010,0
93,26.18000031,-80.18000031,323,2
94,26.18000031,-80.18000031,270,2
95,30.29000092,-97.76000214,1036,2
96,33.70999908,-117.7099991,155,0
97,37.38999939,-122.0699997,1101,0
98,49.61999893,6.119999886,156,0
99,40.0,-75.13999939,328,0
100,38.90000153,-77.05000305,1980,2
101,38.84999847,-94.66999817,557,0
102,42.95999908,-85.66000366,359,0
103,33.77000046,-84.37999725,417,0
104,36.13999939,-86.73999786,374,0
105,42.36999893,-71.08999634,64,0
106,40.75999832,-73.98999786,851,0
107,42.34000015,-71.06999969,1545,0
108,42.00999832,-87.70999908,271,2
109,33.72999954,-116.3700027,1041,0
110,51.52000046,-0.100000001,6708,2
111,42.40999985,-71.18000031,1627,0
112,37.77000046,-122.4000015,4798,0
113,38.93999863,-77.05999756,2242,2
114,26.11000061,-80.37000275,643,0
115,39.75999832,-104.9700012,911,0
116,47.72000122,-122.3000031,667,0
117,29.76000023,-95.36000061,1184,2
